session_id,project_id,user_id,proj_name,user_status
1106,111,1093,PSA1_GER_test,guest
1107,90,1094,PSA1_SPA_test,guest
1111,111,1098,PSA1_GER_test,guest
1114,29,1100,PSA1_ENG_UK_018,guest
1115,147,1103,PSA1_FR-CH_SUI_003,guest
1118,147,1104,PSA1_FR-CH_SUI_003,guest
1119,147,1105,PSA1_FR-CH_SUI_003,guest
1121,147,1109,PSA1_FR-CH_SUI_003,guest
1124,147,1108,PSA1_FR-CH_SUI_003,guest
1129,147,1113,PSA1_FR-CH_SUI_003,guest
1131,147,1116,PSA1_FR-CH_SUI_003,guest
1132,147,1118,PSA1_FR-CH_SUI_003,guest
1136,147,1120,PSA1_FR-CH_SUI_003,guest
1138,147,1127,PSA1_FR-CH_SUI_003,guest
1140,147,1124,PSA1_FR-CH_SUI_003,guest
1141,147,1125,PSA1_FR-CH_SUI_003,guest
1142,147,1128,PSA1_FR-CH_SUI_003,guest
1143,147,1131,PSA1_FR-CH_SUI_003,guest
1147,147,1133,PSA1_FR-CH_SUI_003,guest
1151,111,1137,PSA1_GER_test,guest
1153,111,1139,PSA1_GER_test,guest
1155,111,1139,PSA1_GER_test,guest
1156,111,1139,PSA1_GER_test,guest
1158,147,1142,PSA1_FR-CH_SUI_003,guest
1164,147,1149,PSA1_FR-CH_SUI_003,guest
1165,147,1150,PSA1_FR-CH_SUI_003,guest
1168,147,1143,PSA1_FR-CH_SUI_003,guest
1180,147,1164,PSA1_FR-CH_SUI_003,guest
1181,147,1162,PSA1_FR-CH_SUI_003,guest
1183,147,1163,PSA1_FR-CH_SUI_003,guest
1190,147,1168,PSA1_FR-CH_SUI_003,guest
1192,147,1176,PSA1_FR-CH_SUI_003,guest
1194,147,1172,PSA1_FR-CH_SUI_003,guest
1197,4,1179,PSA1_ENG_AUS_004,guest
1198,112,1180,PSA1_GER_AUT_001,guest
1199,112,1181,PSA1_GER_AUT_001,guest
1201,4,1184,PSA1_ENG_AUS_004,guest
1204,108,1191,PSA1_FAS_IRI_001,guest
1207,108,1194,PSA1_FAS_IRI_001,guest
1211,108,1198,PSA1_FAS_IRI_001,guest
1212,4,1199,PSA1_ENG_AUS_004,guest
1215,108,1202,PSA1_FAS_IRI_001,guest
1216,109,1201,PSA1_POL_test,guest
1219,108,1205,PSA1_FAS_IRI_001,guest
1223,108,1209,PSA1_FAS_IRI_001,guest
1225,108,1211,PSA1_FAS_IRI_001,guest
1233,108,1222,PSA1_FAS_IRI_001,guest
1234,108,1223,PSA1_FAS_IRI_001,guest
1235,108,1224,PSA1_FAS_IRI_001,guest
1237,108,1226,PSA1_FAS_IRI_001,guest
1241,108,1229,PSA1_FAS_IRI_001,guest
1245,108,1233,PSA1_FAS_IRI_001,guest
1247,108,1234,PSA1_FAS_IRI_001,guest
1254,4,1239,PSA1_ENG_AUS_004,guest
1256,4,1241,PSA1_ENG_AUS_004,guest
1257,4,1242,PSA1_ENG_AUS_004,guest
1260,111,1246,PSA1_GER_test,guest
1261,112,1247,PSA1_GER_AUT_001,guest
1267,112,1257,PSA1_GER_AUT_001,guest
1268,112,1258,PSA1_GER_AUT_001,guest
1273,108,1266,PSA1_FAS_IRI_001,guest
1280,112,1269,PSA1_GER_AUT_001,guest
1282,4,1271,PSA1_ENG_AUS_004,guest
1283,4,1272,PSA1_ENG_AUS_004,guest
1289,109,1277,PSA1_POL_test,guest
1292,4,1282,PSA1_ENG_AUS_004,guest
1296,111,1285,PSA1_GER_test,guest
1297,117,1288,PSA1_GER_GER_015,guest
1298,117,1287,PSA1_GER_GER_015,guest
1302,4,1293,PSA1_ENG_AUS_004,guest
1308,77,1317,PSA1_ITA_ITA_001,guest
1311,78,1318,PSA1_ITA_ITA_001,guest
1314,4,1321,PSA1_ENG_AUS_004,guest
1321,30,1329,PSA1_ENG_UK_024,guest
1325,109,1333,PSA1_POL_test,guest
1328,9,1336,PSA1_ENG_CAN_008,guest
1334,4,1343,PSA1_ENG_AUS_004,guest
1339,6,1351,PSA1_ENG_AUS_006,guest
1340,4,1352,PSA1_ENG_AUS_004,guest
1342,107,1354,PSA1_FAS_test,registered
1345,4,1360,PSA1_ENG_AUS_004,guest
1346,29,1361,PSA1_ENG_UK_018,guest
1351,30,1367,PSA1_ENG_UK_024,guest
1352,57,1363,PSA1_ENG_USA_113,guest
1358,57,1363,PSA1_ENG_USA_113,guest
1361,45,1374,PSA1_ENG_USA_031,guest
1362,45,1378,PSA1_ENG_USA_031,guest
1365,45,1379,PSA1_ENG_USA_031,guest
1367,45,1381,PSA1_ENG_USA_031,guest
1368,1,1383,PSA1_ENG_test,guest
1374,117,1393,PSA1_GER_GER_015,guest
1378,117,1398,PSA1_GER_GER_015,guest
1380,117,1401,PSA1_GER_GER_015,guest
1382,117,1402,PSA1_GER_GER_015,guest
1383,117,1404,PSA1_GER_GER_015,guest
1385,117,1406,PSA1_GER_GER_015,guest
1390,117,1413,PSA1_GER_GER_015,guest
1392,117,1415,PSA1_GER_GER_015,guest
1394,117,1414,PSA1_GER_GER_015,guest
1395,117,1417,PSA1_GER_GER_015,guest
1399,117,1421,PSA1_GER_GER_015,guest
1401,117,1419,PSA1_GER_GER_015,guest
1405,26,1427,PSA1_ENG_UK_022,guest
1408,30,1429,PSA1_ENG_UK_024,guest
1411,36,1434,PSA1_ENG_PSA_001,guest
1425,4,1451,PSA1_ENG_AUS_004,guest
1428,111,1453,PSA1_GER_test,guest
1431,4,1454,PSA1_ENG_AUS_004,guest
1433,115,1458,PSA1_GER_GER_012,guest
1435,117,1460,PSA1_GER_GER_015,guest
1436,117,1462,PSA1_GER_GER_015,guest
1440,117,1465,PSA1_GER_GER_015,guest
1442,117,1469,PSA1_GER_GER_015,guest
1447,117,1476,PSA1_GER_GER_015,guest
1456,117,1481,PSA1_GER_GER_015,guest
1457,117,1482,PSA1_GER_GER_015,guest
1458,117,1485,PSA1_GER_GER_015,guest
1462,115,1467,PSA1_GER_GER_012,guest
1466,77,1492,PSA1_ITA_ITA_001,guest
